id,code,title,lecture_hours,lab_hours,credits,department_id,type,description,prerequisites
297,CHE 311,Chemical Process Industries,3,0,3,27,Undergraduate,"Flow sheets and process calculations are described for major chemical industries now operating in Saudi Arabia or likely to be developed in the future. Examples are industrial gases, cement, aluminum, glass, fertilizers, detergents, sulfur industry, petrochemicals, petroleum refining, pulp and paper industry etc.",
298,CHE 312,Surface Petroleum Operations,3,0,3,27,Undergraduate,"Processing of crude oil and the associated natural gas of the wellhead into stabilized crude oil, pipeline quality natural gas, natural gas liquids and sulfur. Gas-oil separation, crude oil desalting, gas sweetening and dehydration, recovery and fractionation of natural gas liquids, sulfur production and crude oil stabilization. Computer simulation of major oil field processes. Thermodynamics and phase equilibria of multi-component hydrocarbon mixtures. Gas compression, refrigeration and two-phase flow.",
299,CHE 320,Introduction to Chemical Processes,3,0,3,27,Undergraduate,"Mass and energy balances, chemical kinetics, ideal reactors, types of industrial reactors, heterogeneous catalytic reactors, and their applications. The course will familiarize industrial chemistry students with concept of design of industrial reactors. Problem solving sessions. This course cannot be taken for credit by CHE majors. This course is offered in the first term only.",
300,CHE 325,Chemical Engineering Computing Laboratory,1,3,2,27,Undergraduate,"Programming chemical engineering calculations and problem solving. Data acquisition and processing, computer assisted design and simulation of chemical engineering problems using appropriate commercial software packages.",
301,CHE 351,Applied Chemical Engineering Cooperative Work,0,0,9,27,Undergraduate,In this course the student will spend a period of 28 weeks of industrial employment in industry. Students are required to write a detailed formal report on their experience. Evaluation by the employer will be counted towards the grade given for this course (Registration in this course is limited to students in the College of Applied Engineering).,
302,CHE 360,Numerical Methods in Chemical Engineering,3,0,3,27,Undergraduate,"Applications of numerical methods to interpolation, differentiation, integration, and the solution of systems of linear, nonlinear, and differential equations in chemical engineering. Not to be taken with MATH 371 or CISE 301.",
303,CHE 398,Internship,0,0,6,27,Undergraduate,In this course the student will spend a period of one semester of industrial employment in industry. Students are required to write a detailed formal report on their experience. Evaluation by the employer will be counted towards the grade given for this course.,
304,CHE 399,Summer Training,0,0,1,27,Undergraduate,"A period of 12 weeks of industrial employment in appropriate industries or firms. Students are evaluated on their performance, and are required to submit a report and offer a seminar about their experience before receiving a grade of Pass or Fail for the course.",
305,CHE 401,Process Dynamics and Control,3,0,3,27,Undergraduate,"The intent of this course is to present the fundamental principles in modeling and control of chemical processes. The topics covered in this course include: modeling of chemical processes, Laplace transfer and state-space models, approximation of complicated models, dynamics and simulation of different systems, feedback controllers, PID tuning, design and instrumentation of closed-loop control systems, control block diagrams, frequency response analysis, Bode and Nyquist stability criteria.",
306,CHE 402,Kinetics and Reactor Design,3,0,3,27,Undergraduate,Introduction to kinetics of reactions. Techniques for experimentally determining rate laws for simple and complex chemical reactions. Design and operation of isothermal batch and flow reactors. Nonisothermal reactor design and operation. Introduction to catalysis and catalytic reactors. Computer simulation of reaction systems will be implemented.,
307,CHE 404,Hydrogen production and storage,3,0,3,27,Undergraduate,The aim of this course to provide insight into the alternative resources and technologies for hydrogen production and to discuss the present options of hydrogen storage and future needs.,
308,CHE 405,Process Design and Economics,3,0,3,27,Undergraduate,"Introducing the Process flow diagrams and plant layout, conceptual design and synthesis of process flow diagrams, understanding the process conditions, technical analysis of chemical processes and use of heuristics in design and analysis, and use of simulation in equipment design and process synthesis. Engineering economic analysis of chemical processes with particular emphasis on estimation of capital cost, estimation of cost of manufacturing, time value of money, depreciation, cash flow, profitability and financial analysis, methods for decision making among alternatives.",
309,CHE 409,Chemical Engineering Laboratory II,0,6,2,27,Undergraduate,"A laboratory to complement the theoretical derivations in stagewise operations, process dynamics and control, and kinetics and reactor design. A safety session is given at the commencement of the course. Safe practices are strictly adhered to throughout the course. Two environmental engineering reaction experiments are included. Students carry out selected experiments, analyze data collected referring to applicable theories and present their findings in formal reports.",
310,CHE 412,Senior Design Project II,0,6,3,27,Undergraduate,"This is the second of two courses for the multidisciplinary, capstone project. Multidisciplinary teams undertake product definition, generation of conceptual designs, product development, and presentation of final products. Students integrate knowledge acquired from prior courses into multidisciplinary projects with multiple constraints and use engineering standards while further developing their communication skills and life-long learning techniques.",
311,CHE 422,Properties of Fluids,3,0,3,27,Undergraduate,"Study on several methods for the estimation of physical, thermodynamic and transport properties of fluids commonly used in industry. Study of literature sources where property information is available. Application of these properties to process design is emphasized to give the students a complete picture of the use and importance of good property estimation.",
312,CHE 424,Fundamentals of Renewable Energy Processes,3,0,3,27,Undergraduate,Binary geothermal cycles. Compressed air energy storage. Wind power systems. Hydrogen fuel cells. Solar thermal collectors. Photovoltaic power systems. Biomass thermo-chemical conversion.,
313,CHE 425,Engineering Economics and Design Principles,3,0,3,27,Undergraduate,"Introducing the Process flow diagrams and plant layout, conceptual design and synthesis of process flow diagrams, understanding the process conditions, technical analysis of chemical processes and use of heuristics in design and analysis, and use of simulation in equipment design and process synthesis. Engineering economic analysis of chemical processes with particular emphasis on estimation of capital cost, estimation of cost of manufacturing, time value of money, depreciation, cash flow, profitability and financial analysis, methods for decision making among alternatives.",
314,CHE 430,Rate-Based Separation Processes,3,0,3,27,Undergraduate,"The intent of this course is to present advances separation techniques practiced in chemical and petrochemical industry. Dynamics of the distillation column involving the column internals and column diameter calculations will be covered. Emphasis will be on the unit operations of multi-component gas absorption, humidification, evaporation, adsorption and ion exchange, reverse osmosis, permeation, dialysis, electrodialysis, and pervaporation.",
315,CHE 431,Membrane Processes Technology,3,0,3,27,Undergraduate,"Membrane fundamentals and practical applications of membrane processes; membrane classifications, materials, properties and characterization, and preparation; transport through membranes, concentration polarization and membrane fouling, membrane permeability with special emphasis on membrane modules and process design; gas separation, pervaporation, ultrafiltration, reverse osmosis, and membrane reactors.",
316,CHE 432,Principles of Heat Exchanger Design,3,0,3,27,Undergraduate,"Description and applications of different heat exchangers in process industries. Design of double pipe heat exchanger (including extended surfaces). Detailed design procedures for shell and tube heat exchanger for single phase flow. Detailed design procedures for air coolers. Selection criteria for heat exchangers. Descriptive discussion of condensers, evaporators and reboilers, novel heat exchangers and other types of heat exchangers.",
317,CHE 440,Catalysis and Catalytic Processes,3,0,3,27,Undergraduate,"Basic definitions and classification of catalysts, nature and mechanism of catalytic reactions, adsorption processes, catalyst preparation and catalyst characterization. Mass and heat transport effects in catalysis. Catalyst deactivation. Design principles of heterogeneous catalytic reactors such as fixed- and fluidized-bed reactors. Industrial catalytic processes with emphasis on existing processes in Saudi Arabia.",
318,CHE 444,"Fuel Cells, Batteries and Supercapacitors",3,0,3,27,Undergraduate,Fuel cell thermodynamics and electrochemistry. Charge transport in polymer and ceramic electrolytes. Gas phase transport in fuel cells (diffusion and fluid mechanics). Energy balance and heat management. Flux balance for fuel cells. Electrochemical energy storage including batteries and supercapacitors. Power management strategies for hybrid storage systems.,
319,CHE 449,Biochemical Engineering,3,0,3,27,Undergraduate,"Descriptive treatment of key concepts on biochemistry. The kinetics of enzyme-catalyzed reactions and its applications. Kinetics of substrate utilization, transport phenomena in microbial systems. Design and analysis of biological reactors. Analysis of multiple interacting microbial populations in applications.",
320,CHE 453,Mathematical Methods in Chemical Engineering,3,0,3,27,Undergraduate,"This course introduces the selection, construction, solution, and interpretation of mathematical models applicable to the study of chemical engineering problems. Topics covered include: introduction to mathematical modeling, analytical solution of ordinary differential equations, special functions, analytical solution of partial differential equations, numerical solution of nonlinear algebraic systems, and numerical solution of systems of first order ODE's.",
321,CHE 455,Chemical Process Simulation,3,0,3,27,Undergraduate,"The intent of this course is to emphasize the application of computer simulation and flowsheeting, optimization, and process synthesis techniques to the design and operation of chemical processes and equipment. Students will learn how to simulate various process units and processes, and what is in the black box of a simulator program. The topics covered in this course include: concepts of structure and information flow and tasks in the design and analysis of chemical processes, basic solution strategies in flowsheeting computations, computation sequence in solving set of equations, concept of flowsheet partitioning and tearing, steady-state unit operation models in simulator packages such as Aspen Plus, HYSYS and UniSim Design, selection of thermodynamics and physical property models, and heuristics for process synthesis. Each student will be assigned an individual process to simulate under steady-state conditions using available process simulators.",
322,CHE 456,Industrial Process Control,3,0,3,27,Undergraduate,"Review of feed back control, cascade control, Ratio, override, selective, feed-forward, and multivariable process control. Dynamic simulation of control systems using SIMULINK and other commercial software packages. Instrumentation, design case studies and tuning case studies.",
323,CHE 458,Process Safety Engineering,3,0,3,27,Undergraduate,"Applications of engineering principles to process safety and hazards analysis, mitigation, and prevention, with special emphasis on the chemical process industries. Includes source modeling for leakage rates, dispersion analysis, relief valve sizing, fire and explosion damage analysis, hazards identification, risk analysis, accident investigations, etc.",
324,CHE 461,Petroleum Refining,3,0,3,27,Undergraduate,"General review of refining processes of crude oil. Shortcut methods for practical design calculations. Design of atmospheric, vacuum, and pressure columns for petroleum fractionation, including auxiliary furnaces and condensers. Recent developments in heavy oil processing.",
325,CHE 462,Petrochemical Industries,3,0,3,27,Undergraduate,"Process technologies used in petrochemical industries, such as thermal and catalytic cracking will be introduced. Basic, intermediate and final petrochemicals are studied. These include synthesis gas and derivatives, ethylene, propylene, butene, BTX, and their derivatives. Competing technologies will be assessed from the chemical engineering point of view.",
326,CHE 463,Polymer Technology,3,0,3,27,Undergraduate,"Structure and physical properties of polymers. Homogeneous and heterogeneous polymerization processes. The chemical, mechanical, and engineering properties of polymers as well as polymer processing and rheology are emphasized in this course.",
327,CHE 464,Refining and Petrochemicals Technology and Economics,3,0,3,27,Undergraduate,"The characteristics of the industry in terms of feed stocks and products interaction, processes and technologies, and Economics are introduced. Petroleum fractionation and general review of refining processes of crude oil are introduced. Important petrochemical products are introduced with",
328,CHEM 101,Principles of Chemical Science I,3,3,4,28,Undergraduate,"Matter, atomic structure and the periodic table, chemical bonding, stoichiometry of pure substances, reaction in aqueous solutions, states of matter (gases, liquids, and solids), mixtures (with emphasis on some physical aspects of solutions), thermochemistry.",
329,CHEM 102,Principles of Chemical Science II,3,4,4,28,Undergraduate,"Chemical equilibria (gases, acids and bases, and solubility equilibria), chemical kinetics, spontaneity of reactions, coordination chemistry, nuclear chemistry, electrochemistry, chemistry of selected representative elements, organic structure and reactions, chemistry of materials.",
330,CHEM 105,General Chemistry for Engineers,3,3,4,28,Undergraduate,"Matter, atomic structure and the periodic table, chemical bonding, stoichiometry, energy and chemistry, chemical equilibria, chemical kinetics, spontaneity of reactions, electrochemistry and applications to engineering problems.",
331,CHEM 111,Basics of Environmental Chemistry,2,0,2,28,Undergraduate,"Elements, compounds, chemical equations, and gas laws, spontaneity of reactions, chemical kinetics, chemical equilibria (gases, acids and bases, redox and complexation reaction), organic structures and reactions, carbohydrates, proteins and fats, pesticides and organic pollutants, colloids. *(Not open for Chemistry and Industrial Chemistry Majors)*",
332,CHEM 201,Organic Chemistry I,3,0,3,28,Undergraduate,"Structure, nomenclature, bonding, isomerism, stereochemistry and properties of organic compounds. Synthesis and reactions of alkanes, alkenes, alkynes, alcohols, ethers, alkyl halides and aromatics. Mechanism of addition, elimination, substitution, radical and electrophilic aromatic substitution reactions.",*indicates Co-Requisites
333,CHEM 202,Organic Chemistry Laboratory,0,4,1,28,Undergraduate,"Micro-scale laboratory techniques, basic characterizations, separations, purifications and synthesis of organic compounds.",*indicates Co-Requisites
334,CHEM 204,Organic Chemistry II,3,0,3,28,Undergraduate,"Spectroscopic identification of organic compounds. Synthesis and properties of carboxylic acids and derivatives, aldehydes, ketones, amines, heterocycles, carbohydrates and amino acids. Conjugate additions, reaction of carbon nucleophiles, pericyclic reactions.",
335,CHEM 212,Physical Chemistry I: Chemical Thermodynamics,3,0,3,28,Undergraduate,"Basic gas laws, laws of thermodynamics, chemical equilibria, ideal and real solutions, phase equilibria, electrolytic solutions and electrochemistry, kinetic theory of gases.",*indicates Co-Requisites
336,CHEM 213,Chemical Thermodynamics Lab,0,4,1,28,Undergraduate,"Experiments in physical chemistry including techniques of physical measurements, error analysis and statistics, heat capacity, Joule-Thompson experiment, calorimetry, vapor pressure, fractional distillation, Ebullioscopic molecular weight, Temperature-Composition (T-X) diagrams for ideal and real solutions, Temperature-Composition (T-X) diagram for a solid solution.",*indicates Co-Requisites
337,CHEM 311,Physical Chemistry II: Kinetics and Spectroscopy,3,0,3,28,Undergraduate,"Reaction rates and mechanisms, temperature dependence of rate constant. Lindemann mechanism, catalysis, adsorption isotherms, photochemistry, transport properties, the Schrodinger equation, quantum mechanical postulates, a particle in a box, vibration-rotation spectroscopy of diatomic molecules, ensembles and molecular partition functions.",*indicates Co-Requisites
338,CHEM 312,Kinetics and Spectroscopy Laboratory,0,4,1,28,Undergraduate,"Experiments in physical chemistry including chemical kinetics, transport properties of gases and liquids, and vibrational and electronic spectroscopy.",*indicates Co-Requisites
339,CHEM 221,Quantitative Chemical Analysis,2,0,2,28,Undergraduate,"Introduction to quantitative and qualitative analyses, analytical processes and validation of analytical methods, data handling and statistical concepts, gravimetric methods of analysis, volumetric analysis. Acid-base, precipitation and complex formation titrations. Redox reactions, electrode potential and electrochemical cells, potentiometry, voltammetry, solvent extraction, chromatographic methods.",*indicates Co-Requisites
340,CHEM 222,Quantitative Chemical Analysis Laboratory,0,4,1,28,Undergraduate,"Experiments in analytical chemistry, selected methods such as calibration of analytical instruments, volumetric, potentiometric and conductometric titrations, analysis by ion selective electrodes, back titration, complexation and gravimetric analysis.",*indicates Co-Requisites
341,CHEM 323,Instrumental Chemical Analysis,2,4,3,28,Undergraduate,"Instrumental analysis techniques such as molecular and atomic spectrophotometry: absorption and emission spectroscopy, electroanalytical techniques of analysis with emphasis on potentiometry and voltammetry, chromatography, and thermal analysis.",
342,CHEM 236,Inorganic Chemistry I,3,4,4,28,Undergraduate,"Atomic structure and bonding, symmetry and group theory, molecular orbitals, acid-base and donor acceptor chemistry, coordination chemistry, theories and experimental evidences-bf electronic structure, reactions and mechanisms, transition metal organometallic compounds and catalysis, metal-metal bonds and cluster compounds with special emphasis on transition metal complexes.",
343,CHEM 335,Fundamentals of Inorganic Chemistry,3,0,3,28,Undergraduate,"Atomic structure and bonding, symmetry and group theory, molecular orbitals, acid-base and donor acceptor chemistry, coordination chemistry, theories and experimental evidences of electronic structure, reactions and mechanisms.",
344,CHEM 363,Biochemistry,3,0,3,28,Undergraduate,"Structure and functions of proteins, carbohydrates, nucleic acid, lipids and membranes, enzyme kinetics, mechanisms and regulations, bioenergetics, metabolic pathways oxidation reduction and electron transfer reactions DNA and information transfer.",
345,CHEM 401,Special Topics,3,0,3,28,Undergraduate,State-of-the-art topics in Chemistry.,
346,CHEM 471,Chemistry Senior Project I,0,0,2,28,Undergraduate,"Students are introduced to research under the direction of a member of faculty. Reasonably simple but challenging projects are chosen which give students the opportunity to use different techniques and principles of chemistry. After their research, students will submit a final project report.",
347,CHEM 472,Chemistry Senior Project II,0,0,2,28,Undergraduate,The requirements for this course are the same as CHEM471.,
348,CHEM 488,Undergraduate Research,0,8,2,28,Undergraduate,"Each student is introduced to research through a specific research project under guidance of a faculty member. The students are exposed to the fundamentals of basic research where they gain experience in experimental techniques, data analysis, and interpretation of results with focus on the process of scientific discovery. Submission of a final report is required at the end of this course.",
349,CP 101,Introduction to City Planning,3,0,3,43,Undergraduate,"Objectives of planning, forming the goals, defining the approaches and methods in the context of socio-economic activities and historical development of Cities and Regions.",
350,CP 201,Planning Theory,3,0,3,43,Undergraduate,Introducing planning theories as instruments and rational decision making activity to bring physical and social changes to achieve a set of goals through recognized models: comprehensive incremental; advocate; descriptive; predictive etc.,
351,CP 202,Planning Laws and Legislation,3,0,3,43,Undergraduate,"An overview of planning laws and legislation and a short history of planning process. Methods, techniques and instruments for implementing plans through decrees and administrative acts, the basis for urban and regional planning and its relation to Shariah Law as well as the structure and organization of Saudi public planning administration. Discussion of zoning procedures, subdivision review practices and budget preparation and execution.",
352,CP 203,Introduction to Spatial Database Management Systems,3,0,3,43,Undergraduate,"Introduction to spatial DBMS, relational databases, relational algebra, SQL, entity relationship Model. Theory of database design, physical database design, examples of DBMS.",
353,CP 204,Land Use Planning,3,0,3,43,Undergraduate,"Land use distribution of urban and regional functions. Location theory, infrastructure systems and municipal and Regional Models.",
354,CP 205,Urban Economics,3,0,3,43,Undergraduate,Microeconomics principles to understand the economic nature of urban areas. Urban growth in the context of location theory. Agglomeration economies in relation to land use pattern and transportation cost. Urban economics problems within the context of the theory of public goods.,
355,CP 206,GIS I,2,3,3,43,Undergraduate,"GIS definition, history, and functional elements. Data input and output, data management and data analysis. Introduction to most commonly used GIS packages. Hands-on experience on selected GIS software. GIS applications in planning. GIS planning and implementation. Case studies of GIS adoption and application in Saudi Arabia and abroad are presented.",
356,CP 210,Planning Workshop I,1,9,4,43,Undergraduate,"Introduction of students to methodology of collecting and analyzing data about a local study area to examine the relative problem solving in situations of functional and normative requirements. Integration of analysis, programming, implementation, and presentation of phases of the planning process. The workshop includes graphical presentation of the project. Each student chooses a distinct local study area as his project.",
357,CP 301,Urban Survey Methods,3,0,3,43,Undergraduate,"Design of surveys, including the preliminary planning of surveys, selection of survey methods, sampling procedures, survey instrument (questionnaire) design, pilot surveys, administration of surveys, and data processing. Computer applications in surveys, including internet-based surveys will also be covered.",
358,CP 302,Introduction to Environmental Planning,2,0,2,43,Undergraduate,,
359,CP 303,Introduction to Cartography & Remote Sensing,2,3,3,43,Undergraduate,"Cartographic concepts and principles, map design, thematic mapping, computer-aided mapping, symbolization, and map coordinate systems and projections. Basis of remote sensing; photogrammetric systems; space borne sensors and platforms; fundamentals of analyzing remotely sensed data, data integration. Methodology for surveying and analyzing geographical phenomena. Various sensor families such as LANDSAT, Spot, IKONOS and other remote sensing satellites.",
360,CP 306,Quantitative Methods in Planning,3,0,3,43,Undergraduate,"Application of different quantitative methods in city planning, including analysis of variance, correlation analysis, regression analysis, time series, Bayesian decision-making, extrapolation techniques, and forecasting methods.",
361,CP 307,Transportation Planning,3,0,3,43,Undergraduate,"Urban transportation planning process, travel demand modeling, data needs, trip generation, trip distribution, modal choice, and network assignment. Local case studies will be emphasized, and specialized software packages will be utilized.",
362,CP 308,GIS II,2,3,3,43,Undergraduate,"Spatial data models, GIS Analysis Functions, System Configuration and Data Communications. Internet GIS, User Requirement Analysis (URA), Metadata Requirements, and Spatial data standards. Advanced GIS software will be used. Students will carry out a comprehensive GIS-related project by utilizing knowledge acquired in this course and previous GIS-related courses.",
363,CP 310,Planning Workshop II,1,9,4,43,Undergraduate,"All the students participate in the project and integrate their projects in Planning Workshop I to the City scale. In this project, students should define the functions of the city and the social and economical activities of the city and their manifestation and realization in space.",
364,CP 315,Planning Workshop III,1,9,4,43,Undergraduate,"Several options are offered each year, such as regional planning, housing, metropolitan planning, and urban design. All students participate in the project through an inter-disciplinary approach based on the experience gained in previous courses.",
365,CP 351,Cooperative Work,0,0,9,43,Undergraduate,"A continuous period of 28 weeks spent in industry with the purpose of acquiring practical experience in different areas of city planning. During this period, a student is exposed to the profession of city planning by working in the field. Students are required to submit a final report and give a presentation about their experience and the knowledge gained during their cooperative work.",
366,CP 401,Senior Planning Project Preparation,1,0,1,43,Undergraduate,"This course is designed to help the senior student to prepare his proposal for the final project in CP 499. In this course the student will carry out research on a selected topic in the area of city planning of his choice and approved by the course instructor. The student will write a complete proposal including statement of the problem, objectives of the project and its justification, methodology, data collection and project outline.",
367,CP 402,Sustainable Development,2,0,2,43,Undergraduate,"Development with the most efficient utilization of natural resources. Balance between market, social, and environmental values throughout the process.",
368,CP 410,Planning Workshop IV,1,9,4,43,Undergraduate,"This course is an exercise on applied professional planning. Utilizing a local study area the course focuses on the applications of city planning theories, concepts, and methods to the solutions of actual planning problems including data collection, analysis, preparation of development plans, policies, and recommendations; computer applications will be made when appropriate.",
369,CP 414,Geographic Information Systems,3,0,3,43,Undergraduate,"GIS functional elements, attribute and spatial data structures, remote sensing and GIS, global GIS databases, and GIS Application Areas. Case studies of GIS adoption and Application in Saudi Arabia and abroad, GIS sustainable planning and implementation, and future of GIS technology.",
370,CP 421,Urban Infrastructure Systems,3,0,3,43,Undergraduate,"Introduction to transportation systems, transportation costs, and effect on landuse planning. Other elements of the general plan: electricity, gas, and communications services systems. Storm drainage, sewage and waste disposal. Introduction to standards and control regulations.",
371,CP 422,Public Works Administration,3,0,3,43,Undergraduate,"An analysis of the administrative structure and administrative practices with emphasis on finance, personnel, public safety, utilities, and public infrastructure.",
372,CP 423,Development Impact Assessment,3,0,3,43,Undergraduate,"Principles of impact assessment, development impact assessment methods; cost-benefit analysis, environmental impact assessment, and balance sheet.",
373,CP 424,Evaluation and Appraisal,3,0,3,43,Undergraduate,"Techniques and methods for assessment of different plans, programs, and public policies. Cost effectiveness, goal achievement, cost benefit, and cost revenue analysis. Pre and post implementation evaluation.",
374,CP 425,Urban Modeling,3,0,3,43,Undergraduate,"Location theory, geographical and gravitational models, population projection, travel behavior and transportation systems, regional models and economic base models.",
375,CP 426,Internet GIS,3,0,3,43,Undergraduate,Introduction to Internet GIS; applications of Internet GIS in City and Regional Planning; use of software to create applications for the web that have interactive GIS functionality; advantages of using Internet GIS in public and private sectors.,
376,CP 427,GIS Analysis and Modeling,3,0,3,43,Undergraduate,"Concepts and principles of analysis and modeling of spatial data. Students will gain knowledge of different spatial data modeling techniques used in GIS through lecture, assignments and computer exercises. Student will be able to design, implement and solve a given spatial problem utilizing GIS.",
377,CP 428,GIS in Space Syntax,3,0,3,43,Undergraduate,Introduction to space syntax concepts; application packages; use of Axwoman and Isovist analyst extensions in ArcView GIS; pedestrian and vehicular systems; modeling and analysis of urban areas and building interiors; integration of syntactic models with other GIS spatial models; techniques of reporting findings; other quantification techniques applicable to GIS concepts.,
378,CP 429,Geo-statistical Analysis,3,0,3,43,Undergraduate,"Role of computers in geographic analysis. Data sampling and descriptive and inferential statistical techniques for analyzing geographic data. Graphic techniques, tests of hypothesis, simple regression, and the analysis of variance. Interpretation and presentation of appropriate spatial and non-spatial statistics.",
379,CP 430,GIS in Transportation,2,3,3,43,Undergraduate,"GIS applications in various areas within transportation (GIS-T), including transportation planning, transportation engineering, mass transit, railroads, and intelligent transportation systems (ITS). Linear referencing systems and dynamic segmentation data model will be thoroughly discussed.",
380,CP 431,GIS in Utilities Management,3,0,3,43,Undergraduate,"GIS management of utilities: electric, phone, water, and sewer networks. Automated Mapping/Facilities Management (AM/FM).",
381,CP 432,Special Topics in GIS,3,0,3,43,Undergraduate,Topics of this course are to be selected from special topics in GIS.,
382,CP 490,Special Topics in City Planning,3,0,3,43,Undergraduate,Topics of this course are to be selected from the broad areas of City planning.,
383,CP 499,Senior Planning Project,1,9,4,43,Undergraduate,"The senior student will be required to work on a planning project of the topic developed during CP 401 Senior Planning Project Preparation. The objective of the course to demonstrate the student knowledge and skills acquired during his four years of city planning studies. At the end of the semester, the student is expected to submit a complete and detailed planning project of high quality utilizing planning tools, techniques and methods.",
384,CGS 392,Career Essentials,0,2,1,44,Undergraduate,"Essential Skills: Creative & critical thinking, problem solving. Essential Preparation: Job search, application, interview. Essential Knowledge: Corporate structure & culture, performance metrics, ongoing professional development.",
385,CPG 199,Summer Camp,0,0,1,45,Undergraduate,,
386,CPG 415,UAV Applications,2,3,3,45,Undergraduate,,
387,CPG 498,Integrated Reservoir Studies,0,6,2,45,Undergraduate,,
388,CPG 499,Integrated Design II,0,6,2,45,Undergraduate,,
389,COE 200,Fundamentals of Computer Engineering,3,3,4,24,Undergraduate,"Introduction to Computer Engineering. Binary number system. Digital circuits. Boolean algebra and switching theory. Manipulation and minimization of Boolean functions. Combinational circuit analysis and design, multiplexers, decoders, adders. Sequential circuit analysis and design, basic flip-flops, clocking, and edge-triggering, registers, counters, timing sequences, state assignment and reduction techniques. Register transfer level operations. Machine level programming.",
390,COE 202,Digital Logic Design,3,0,3,24,Undergraduate,"Introduction to information representation and number systems. Boolean algebra and switching theory. Canonical forms: minterms and maxterms. Manipulation and minimization of completely and incompletely specified Boolean functions. Propagation delay, timing diagrams. Primitive and complex gates. Combinational circuits design. Multiplexers, decoders, encoders, comparators, adders. Sequential circuit analysis and design, basic flip-flops, clocking and timing diagrams. Registers, counters. Introduction to Verilog.",
391,COE 203,Digital Logic Laboratory,0,3,1,24,Undergraduate,"Introduction to information representation, Signals and bits, Logic implementation using discrete logic components (TTL, CMOS). Introduction to Field Programmable Logic Arrays (FPGAs) design flow: design capture (schematic capture, HDL design entry, design verification and test, implementation (including some of its practical aspects), and debugging. Use of CAD tools to design, simulate and implement digital logic circuits on FPGA prototyping boards. Introduction to Verilog.",
392,COE 205,Computer Organization and Assembly Language,3,3,4,24,Undergraduate,"Introduction to computer organization. Octal and hexadecimal number systems, ASCII codes. Assembly language programming, instruction formats and types, memory and I/O instructions, arithmetic instructions, addressing modes, stack operations, and interrupts. ALU design. RTL, microprogramming, and hardwired control design. Practice of assembly language programming.",
393,COE 233,Digital Logic & Computer Organization,3,0,3,24,Undergraduate,"Number systems. Boolean Algebra and Minimization of Boolean functions. Combinational circuits analysis and design: multiplexers, decoders, adders, and the ALU. Sequential circuits analysis: flip-flops, Registers. MIPS instruction set architecture. Assembly language: selection and repetition structures. Single cycle and pipelined processor design. Memory hierarchy. ROM, RAM, and cache memories. Evaluation of processor and cache performances.",
394,COE 241,Data and Computer Communications,3,0,3,24,Undergraduate,"Introduction to data communication. Brief overview of the OSI model. Frequency response, bandwidth, filtering, and noise. Fourier series and transform. Introduction to the Z-transform. Information theory concepts such as Nyquist theorem, Shannon theorem, and Sampling theorem. Analog and digital modulation techniques. Pulse Code Modulation (PCM). Communication systems circuits and devices. Data encoding. Physical Layer Protocols. Data Link Control (point to point communication; design issues; link management; error control; flow control). Multiplexing Techniques.",
395,COE 292,Introduction to Artificial Intelligence,3,0,3,24,Undergraduate,Introduction to AI; Uniformed vs. informed search. Constraint satisfaction. Logic and Reasoning pattern; Propositional Logic; Reasoning Patterns. Supervised learning using Nearest Neighbor and SVM. Clustering with mean-shift algorithm. Overview of Neural Networks and training. Overview of deep learning and applications. Feature extraction techniques in Computer Vision. Applications in reinforcement learning. Ethical concerns of AI.,
396,COE 300,Principles of Computer Engineering Design,1,3,2,24,Undergraduate,"Practical and professional skills necessary for the COE practice. Design projects successful execution steps. Team work, project management and professional communication skills. Codes of professional conduct, ethics & responsibility.",
397,COE 301,Computer Organization,3,3,4,24,Undergraduate,"Introduction to computer organization, machine instructions, assembly language programming, addressing modes, control flow, assembly-language procedures, translating high-level language constructs into assembly, floating-point arithmetic, CPU performance and metrics, CPU design, datapath and control, pipelined instruction execution, pipeline hazards, memory hierarchy, cache memory.",
398,COE 302,Design and Modeling of Digital Systems,3,0,3,24,Undergraduate,Digital design methodology. Review of combinational and sequential circuit design. Design of digital systems composed of data path and control units. Hardware description language-based modeling of digital systems. Synthesis and optimization of digital systems. Digital system design using field-programmable gate arrays (FPGAs).,
399,COE 305,Microcomputer System Design,3,3,4,24,Undergraduate,"Microprocessor architecture and organization. Bus types, architecture, and buffering techniques. Memory and I/O subsystems, organization, timing and interfacing. Peripheral controllers and programming. Practice on the design of a microprocessor system, testing, debugging, and reporting.",
400,COE 306,Introduction to Embedded Systems,3,3,4,24,Undergraduate,"Introduction to Embedded Systems, Embedded system design methodologies, Microcontroller Hardware, ARM Processor, Memory and I/O, Interfacing: Parallel and Serial Communication, Pulse Width Modulation, A/D and D/A conversion, Designing robust software for embedded systems, RTOS features.",
401,COE 308,Computer Architecture,3,0,3,24,Undergraduate,"Memory hierarchy and cache memory. Integer and floating point arithmetic. Instruction and arithmetic pipelining, superscalar architecture. Reduced Instruction Set Computers. Parallel architectures and interconnection networks.",
402,COE 409,Special Topics in Computer Architecture and Digital Systems Design,3,0,3,24,Undergraduate,Special topics in issues related to computer architecture and digital systems design. Topics and specifics will be announced well before the course starting date.,
403,COE 429,Special Topics in Parallel and Distributed Systems,3,0,3,24,Undergraduate,Special topics in issues related to parallel and distributed systems. Topics and specifics will be announced well before the course starting date.,
